route_no,total_demand,required_buses,bus_stops_covered
21GCT,1461,36,"BROADWAY, SECRETARIAT,  CHEPAUK,  Q.M.C,  CONVENT,  MANDAVELI,  ADYAR GATE,  KOTTURPURAM,  KOTTURPURAM,  ENG.COLLEGE,  CONCORDE, GUINDY TVK ESTATE"
23M,975,24,"THIRUVANMIYUR, ADAYAR DEPOT,  ADAYAR B.S.,  ENG.COLLEGE,  CONCORDE,  SAIDAPET,  T.NAGAR,  BHARATHI NAGAR(PERIYAR PA,  BHARATHI NAGAR(PERIYAR PA,  TRUSTPURAM,  VADAPALANI JN.,  M.M.D.A.COLONY RD.JN., C.M.B.T."
248,979,24,"BROADWAY, SECRETARIAT,  CHEPAUK,  Q.M.C,  FORE SHORE ESTATE,  A.M.S.HOSPITAL,  ADAYAR B.S.,  ENG.COLLEGE,  ENG.COLLEGE,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM / MARI AMMN,  PORUR, AYYAPPAN THANGAL"
248A,1459,36,"V. NAGAR, P1.POLICE STATION,  DASAMAHAN,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATHUR ESTATE,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  PUDUR, KALLIKUPPAM"
248ET,1464,36,"V. NAGAR, P1.POLICE STATION,  DASAMAHAN,  SAYANI/AYNAVARAM,  KAMABAR ARANGAM,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATHUR ESTATE,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  ORAGADAM O.T., ORAGADAM"
27L,486,12,"9, MATERNITY HOSPITAL,  STERLING ROAD,  NUNGAMBAKKAM R.S,  HOTEL ARUN,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  MOGAIPAIR ROAD JN., MOGAPAIR WEST"
27R,1461,36,"ANNA SQUARE, TRIPLICANE,  ANNA ROAD P.O./DAMS ROAD,  POSTAL AUDIT OFFICE,  STERLING ROAD,  NUNGAMBAKKAM R.S,  HOTEL ARUN,  ANNA NAGAR CIRCLE,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  ORAGADAM O.T., ORAGADAM"
27T,1461,36,"T.NAGAR, BHARATHI NAGAR(PERIYAR PA,  TRUSTPURAM,  VADAPALANI P.S,  M.M.D.A.COLONY RD.JN.,  KOYAMBEDU SCHOOL,  THIRUMANGALAM,  MOGAIPAIR ROAD JN.,  MOGAIPAIR ROAD JN.,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  ORAGADAM O.T., ORAGADAM"
28,1457,36,"THIRUVETRIYUR B.S, THIRUVOTRIYUR TEMPLE,  THANGAL,  THIRUNINDRAVOOR,  THEAGARAYA COLLEGE,  V. NAGAR,  REGAL,  CENTRAL,  CENTRAL,  PERIYAR BRIDGE,  EGMORE, EGMORE NORTH R.S."
29AEB,974,24,"PERAVALLUR KUMARAN NAGAR, S.R.P. COLONY,  VEENUS,  JAMALAYA,  SHIVASHANMUGAPURAM,  DHARMAPRAKASH/PETROL BUNK,  EGMORE,  ANNA POORNA HOTEL/DAMS RD,  TRIPLICANE, ANNA SQUARE"
29B,1474,36,"PERAMBUR R.S, JAMALAYA,  DASAMAHAN,  DOVETON,  LADY MCTM SCHOOL/MILLERS,  K.M.C,  STERLING Rd/METEOROLOGY D,  D.M.S,  D.M.S,  PONDY BAZAAR,  T.NAGAR, SAIDAPET"
29C,1463,36,"PERAMBUR R.S, JAMALAYA,  SHIVASHANMUGAPURAM,  LADY MCTM SCHOOL/MILLERS,  K.M.C,  STERLING Rd/METEOROLOGY D,  U.S.I.S.,  Y.M.I.A,  Y.M.I.A,  DEVANATHAN ST / MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR B.S.,  ADAYAR DEPOT, BESANT NAGAR"
29CEA,1471,36,"PERIYAR NAGAR, AGARAM,  VEENUS,  JAMALAYA,  SHIVASHANMUGAPURAM,  LADY MCTM SCHOOL/MILLERS,  K.M.C,  STERLING ROAD,  STERLING ROAD,  U.S.I.S.,  Y.M.I.A, MANDAVELI"
