route_no,total_demand,required_buses,bus_stops_covered
S153,984,24,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  AMINIJIKARAI,  NADUVANKARAI,  ARUMBAKKAM,  NERKUNDRAM,  MADURAVOYAL,  VAANAGARAM,  VELAPPANCHAVADI,  KUMUNANCHAVADI,  POONAMALLEE,  VARADARAJA PURAM, THIRUMALISAI"
S154A,1458,36,"T.NAGAR, SAIDAPET,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI,  POONAMALLEE,  VARADARAJA PURAM,  THIRUMALISAI,  VELLAVEDU,  ANDERSONPET,  PUTHUCHATHIRAM,  PERIYA KOTTAMEDU,  KOSAPALAYAM,  THIRUNINDRAVOOR, THIRUNINDRAVOOR RLY.STN."
S171C,1456,36,"T.V.K.NAGAR, S.R.P. COLONY,  KOLATHUR/NEHRU RD JN,  MALLIGAI NAGAR AVE,  WATER PIPE THANTHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET, GUINDY TVK ESTATE"
S171L,1452,36,"KALLIKUPPAM, PUDUR,  AMB OT,  DUNLOP,  AMBATHUR ESTATE,  MOGAIPAIR ROAD JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM,  TAMBARAM,  IRUMBULIYUR,  PERUNGULATHUR,  VANDALOOR, VANDALOOR ZOO"
S171P,1474,36,"PATTABIRAM, KAVARAIPALAYAM,  AVADI,  POLYTECHNIC,  THIRUMULLAIVOAYL,  AMB OT,  DUNLOP,  AMBATHUR ESTATE,  MOGAIPAIR ROAD JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM, TAMBARAM"
S171T,1466,36,"KAVIARASU KANNADASAN NAGA, SIDCO,  SARMA NAGAR,  MOOLAKADAI,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THANTHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM,  TAMBARAM,  PERUNGULATHUR,  VANDALOOR, VANDALOOR ZOO"
S21G,1471,36,"BROADWAY, SECRETARIAT,  CHEPAUK,  Q.M.C,  Y.M.I.A,  DEVANATHAN ST / MANDAVELI,  ADYAR GATE,  KOTTURPURAM,  ENG.COLLEGE,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM, TAMBARAM"
S21H,1459,36,"BROADWAY, SECRETARIAT,  CHEPAUK,  Q.M.C,  FORE SHORE ESTATE,  A.M.S.HOSPITAL,  ADAYAR O.T.,  INDIRA NAGAR WATER TANK,  LATTICE BRIDGE RD. JN.,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SOZHINGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  CHEMMAN CHERI,  NAVALUR,  CHURCH,  PALAVASTHIC CHEMICALS,  HINDUSTAL EGG. COLLEGE, KELAMBAKKAM"
S21HET,1444,36,"THIRUVETRIYUR B.S, THIRUVOTRIYUR TEMPLE,  THANGAL,  N4 POLICE STATION,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  BROADWAY,  SECRETARIAT,  CHEPAUK,  Q.M.C,  FORE SHORE ESTATE,  A.M.S.HOSPITAL,  ADAYAR O.T.,  LATTICE BRIDGE RD. JN.,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SOZHINGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  CHEMMAN CHERI,  NAVALUR,  CHURCH,  PALAVASTHIC CHEMICALS,  HINDUSTAL EGG. COLLEGE, KELAMBAKKAM"
S21L,979,24,"BROADWAY, SECRETARIAT,  CHEPAUK,  Q.M.C,  FORE SHORE ESTATE,  A.M.S.HOSPITAL,  ADAYAR B.S.,  ENG.COLLEGE,  CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE, VELACHERY VIJAYA NAGAR"
S254,1465,36,"HIGH COURT, CENTRAL,  PERIYAR BRIDGE,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI, POONAMALLEE"
S25G,1466,36,"ANNA SQUARE, V.HOUSE,  ROYAPETTA HOSPITAL,  GEMINI P.H,  VETERINARY HOSPITAL,  TRUSTPURAM,  VADAPALANI B.S,  VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI, POONAMALLEE"
S266,1473,36,"AVADI, AVADI MOSQUE,  GOVARDANAGIRI,  MELPAKKAM,  SENNEERKUPPAM,  KARAYANCAHVADI,  KUMUNANCHAVADI,  MANGADU,  SIKKARAYAPURAM,  KOLLAICHERI,  KUNDRATHUR B.S,  ANDAKUPPAM,  ANAKAPUTHUR,  PAMMAL,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM, TAMBARAM"
S27B,1458,36,"C.M.B.T., ARUMBAKKAM,  NADUVANKARAI,  AMINIJIKARAI,  TAYLORS ROAD,  TB HOSPITAL,  EGMORE,  PERIYAR BRIDGE,  TRIPLICANE O.T (CORPN. SC, ANNA SQUARE"
S27N,973,24,"ANNA SQUARE, TRIPLICANE,  ANNA ROAD P.O./DAMS ROAD,  POSTAL AUDIT OFFICE,  STERLING ROAD,  NUNGAMBAKKAM R.S,  HOTEL ARUN,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  FIRE STATION, MOGAPAIR EAST"
S28,1457,36,"THIRUVETRIYUR B.S, THIRUVOTRIYUR TEMPLE,  THANGAL,  TONDAIAYRPET,  THEAGARAYA COLLEGE,  V. NAGAR,  REGAL,  CENTRAL,  PERIYAR BRIDGE,  EGMORE, EGMORE NORTH R.S."
S29A,1467,36,"PERAMBUR B.S, JAMALAYA,  DASAMAHAN,  DOVETON,  DHARMAPRAKASH/PETROL BUNK,  EGMORE,  ANNA POORNA HOTEL/DAMS RD,  TRIPLICANE, ANNA SQUARE"
S29C,1472,36,"PERAMBUR B.S, JAMALAYA,  SHIVASHANMUGAPURAM,  LADY MCTM SCHOOL/MILLERS,  K.M.C,  STERLING Rd/METEOROLOGY D,  U.S.I.S.,  Y.M.I.A,  DEVANATHAN ST / MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR B.S.,  ADAYAR DEPOT, THIRUVANMIYUR"
S41A,1467,36,"ANNA SQUARE, TRIPLICANE,  ANNA POORNA HOTEL/DAMS RD,  EGMORE,  DASAPRAKASH,  TAYLORS ROAD,  AMINIJIKARAI,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  MOGAIPAIR ROAD JN.,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC, AVADI"
S41AET,1465,36,"VEPPAMPATTU ESWARAN NAGAR, VEPPUMPATTU PULIYAMARAM,  THIRUNINDRAVOOR,  NEMILICHERI,  PATTABIRAM,  KAVARAIPALAYAM,  AVADI,  POLYTECHNIC,  THIRUMULLAIVOAYL,  AMB OT,  DUNLOP,  AMBATHUR ESTATE,  MOGAIPAIR ROAD JN.,  THIRUMANGALAM,  ANNA NAGAR CIRCLE,  AMINIJIKARAI,  TAYLORS ROAD,  DASAPRAKASH, EGMORE"
S41D,1467,36,"MANDAVELI, ADYAR GATE,  DEFENCE QUARTERS,  D.M.S,  STERLING ROAD,  TAYLORS ROAD,  AMINIJIKARAI,  ANNA NAGAR CIRCLE,  THIRUMANGALAM,  LUCAS TVS,  JN.OF CENTRAL AVENUE&ERIK,  VINAYAGAR KOIL,  DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC, AVADI"
S45B,967,24,"ANNA SQUARE, TRIPLICANE O.T (CORPN. SC,  V.HOUSE P.S,  Y.M.I.A,  LUZ,  F.C.I OLD,  S.H.B,  SAIDAPET,  CONCORDE, GUINDY TVK ESTATE"
S49A,1469,36,"POONAMALLEE, KUMUNANCHAVADI,  AYYAPPAN THANGAL,  PORUR,  VALASARAVAKKAM,  VIRUGAMBAKKAM,  MUTHUMARIAMMAN KOIL,  Jn.OF P.T.R Rd/KAMARAJ Rd,  GOVT. GIRLS H.SC,  ANJUGAM SCHOOL, T.NAGAR"
S511,1467,36,"T.NAGAR, SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM,  TAMBARAM,  IRUMBULIYUR,  PERUNGULATHUR,  VANDALOOR,  VANDALOOR ZOO,  OORAPAKKAM SCHOOL,  PALAKKA COMPANY,  GUINDY RACE COURCE OFFICE,  THAILAPURAM,  MARAIMALAI NAGAR,  FORD,  MALROSAPURAM,  S.P.KOIL,  MAHENDRA CITY(CHETTY PUNN,  PULIPAKKAM,  CHENGLEPET O.T., CHENGLEPET N.T."
S511B,1467,36,"HIGH COURT, CENTRAL,  P.OR & SONS,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM,  TAMBARAM,  IRUMBULIYUR,  PERUNGULATHUR,  VANDALOOR,  VANDALOOR ZOO,  OORAPAKKAM SCHOOL,  PALAKKA COMPANY,  GUDUVANCHERY,  THAILAPURAM,  MARAIMALAI NAGAR,  FORD,  MALROSAPURAM, S.P.KOIL"
S511,1457,36,"VADAPALANI B.S, VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI,  POONAMALLEE,  VARADARAJA PURAM,  THIRUMALISAI,  VELLAVEDU,  NEMAM,  PUTHUCHATHIRAM,  METTUKANDIGAI,  MURUKKANCHERI,  ARANVOYAL KUPPAM,  ARANVOYAL,  VENKATHUR,  MANAVALAN NAGAR,  OIL MILL,  THIRUVALLUR,  TOLLGATE(SATHIAVEDU KOOT,  AMBEDKAR NAGAR,  PULLARAMBAKKAM,  SADURANGAPETTAI,  POONDI KOOT ROAD (NEYVELI, POONDI"
S519,1466,36,"T.NAGAR, SAIDAPET,  ENG.COLLEGE,  WOMEN'S POLYTECHNIC,  SRP TOOLS,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SOZHINGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  CHEMMAN CHERI,  NAVALUR,  CHURCH,  PALAVASTHIC CHEMICALS,  HINDUSTAL EGG. COLLEGE,  KELAMBAKKAM,  CHENGAMMAL KOOT ROAD,  KOMAN NAGAR RD JN.,  KALAVAKKAM TEA STALL, THIRUPPORUR"
S521,1464,36,"BROADWAY, SECRETARIAT,  CHEPAUK,  Q.M.C,  FORE SHORE ESTATE,  A.M.S.HOSPITAL,  ADAYAR O.T.,  INDIRA NAGAR WATER TANK,  LATTICE BRIDGE RD. JN.,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SOZHINGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  CHEMMAN CHERI,  NAVALUR,  CHURCH,  PALAVASTHIC CHEMICALS,  HINDUSTAL EGG. COLLEGE,  KELAMBAKKAM,  CHENGAMMAL KOOT ROAD,  KOMAN NAGAR RD JN.,  KALAVAKKAM TEA STALL, THIRUPPORUR"
S525,1455,36,"VADAPALANI B.S, VIRUGAMBAKKAM,  VALASARAVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI,  POONAMALLEE,  NAZARATHPET,  CHEMBARAMBAKKAM,  PAPPANCHATRAM,  CHETTIPEDU,  THANDALAM KOOT ROAD,  SIPCOT,  IRUNKATTUKOTTAI,  PENNALUR E.B.,  BEEMANTHANGAL,  SRIPERUMPUDUR,  TRAVELLERS BANGALOW,  VADAMANGALAM KOOT ROAD,  MAMBAKKAM,  THIRUMANGALAM, SUNGUVARCHATHIRAM"
S532,1463,36,"V. NAGAR, VYASARPADI,  SARMA NAGAR,  MOOLAKADAI,  MADHAVARAM,  CYCLE SHOP,  KAVANGARAI,  AAYURVEDA ASHRAMAM,  RED HILLS,  PADIYANALLUR,  SEMILIVARAM,  SHOLAVARAM,  KARANODAI,  PERIYAPALAYAM RD JN.,  PANJETTI,  THATCHUR KOOT ROAD,  NEW ROAD,  PUDUVOYAL,  PANAPAKKAM,  AGARAM,  ARANI,  KOSAVAMPETTAI,  ANJATHAMMAN KOIL, PERIYAPALAYAM"
S552K,1461,36,"KILKATTALAI, VELLAIKAL,  JN.OF.VLY-TBM RD&MVKM-K.K,  PALLAVAN NAGAR,  PERUMBAKKAM LIMIT,  SOZHINGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  CHEMMAN CHERI,  NAVALUR,  CHURCH,  PALAVASTHIC CHEMICALS,  HINDUSTAL EGG. COLLEGE,  KELAMBAKKAM,  CHENGAMMAL KOOT ROAD,  KOMAN NAGAR RD JN.,  KALAVAKKAM TEA STALL, THIRUPPORUR"
S553,1467,36,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  AMINIJIKARAI,  NADUVANKARAI,  ARUMBAKKAM,  NERKUNDRAM,  MADURAVOYAL,  VAANAGARAM,  VELAPPANCHAVADI,  KUMUNANCHAVADI,  POONAMALLEE,  NAZARATHPET,  CHEMBARAMBAKKAM,  PAPPANCHATRAM,  CHETTIPEDU,  THANDALAM KOOT ROAD,  SIPCOT,  IRUNKATTUKOTTAI,  PENNALUR E.B.,  BEEMANTHANGAL, SRIPERUMPUDUR"
S553K,1462,36,"POONAMALLEE, NAZARATHPET,  CHEMBARAMBAKKAM,  PAPPANCHATRAM,  CHETTIPEDU,  THANDALAM KOOT ROAD,  KEEVALUR RD.JN.,  KEEVALUR,  INDIAN BANK,  E.B.SUB STATION,  KATTARAMBAKKAM,  POONGAVANATHAMMAN KOIL,  SIPCOT WOMEN'S HOSTEL,  IRUNKATTUKOTTAI,  PENNALUR E.B.,  BEEMANTHANGAL, SRIPERUMPUDUR"
S554,1465,36,"T.NAGAR, SAIDAPET,  CONCORDE,  GUINDY R.S,  BUTT ROAD,  RAMAPURAM,  MOGALIVAKKAM,  PORUR,  AYYAPPAN THANGAL,  KUMUNANCHAVADI,  POONAMALLEE,  NAZARATHPET,  CHEMBARAMBAKKAM,  PAPPANCHATRAM,  CHETTIPEDU,  THANDALAM KOOT ROAD,  SIPCOT,  IRUNKATTUKOTTAI,  PENNALUR E.B.,  BEEMANTHANGAL,  SRIPERUMPUDUR,  TRAVELLERS BANGALOW,  VADAMANGALAM KOOT ROAD,  MAMBAKKAM,  THIRUMANGALAM, SUNGUVARCHATHIRAM"
S558D,1462,36,"RED HILLS, PADIYANALLUR,  SEMILIVARAM,  SHOLAVARAM,  KARANODAI,  PERIYAPALAYAM RD JN.,  PANJETTI,  THATCHUR KOOT ROAD,  ANDAKUPPAM,  MADHAVARAM,  KRISHNAPURAM,  PONNERI,  CHINNAKUVANAM,  UPPALAYAM,  KAVALPATHY,  MEDHUR,  KANCHIVOYAL,  THIRUPALAIVANAM,  KATTUR CROSS ROAD,  PERLIYAMBAKKAM,  POLLACHIAMMANKULAM,  PAKKAM, AVURIVAKKAM"
S562A,1455,36,"RED HILLS, AAYURVEDA ASHRAMAM,  KAVANGARAI,  SCREW FACTORY,  SURAPEDU,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC,  AVADI CIRCLE,  AVADI MOSQUE,  GOVARDANAGIRI,  MELPAKKAM,  SENNEERKUPPAM,  KARAYANCAHVADI,  POONAMALLEE,  NAZARATHPET,  CHEMBARAMBAKKAM,  PAPPANCHATRAM,  CHETTIPEDU,  THANDALAM KOOT ROAD,  SIPCOT,  IRUNKATTUKOTTAI,  PENNALUR E.B.,  BEEMANTHANGAL, SRIPERUMPUDUR"
S562B,1469,36,"PONNERI, KRISHNAPURAM,  MADHAVARAM,  ANDAKUPPAM,  THATCHUR KOOT ROAD,  PANJETTI,  PERIYAPALAYAM RD JN.,  KARANODAI,  SHOLAVARAM,  SEMILIVARAM,  PADIYANALLUR,  RED HILLS,  AAYURVEDA ASHRAMAM,  KAVANGARAI,  SCREW FACTORY,  SURAPEDU,  KALLIKUPPAM,  PUDUR,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC,  AVADI,  AVADI MOSQUE,  GOVARDANAGIRI,  MELPAKKAM,  SENNEERKUPPAM,  KARAYANCAHVADI, POONAMALLEE"
S563,1471,36,"AMBATHUR ESTATE, DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC,  AVADI,  KAVARAIPALAYAM,  PATTABIRAM,  NEMILICHERI,  THIRUNINDRAVOOR,  NASIC NAGAR,  PAKKAM,  KESAVA CROSS ROAD,  KAVANOOR,  TAMARAIPAKKAM RD.JN.,  PAGALMEDU,  VENGAL,  ERNAKUPPMA,  VADAMADURAI,  VADAMADURAI KANDIGAI, PERIYAPALAYAM"
S56P,1469,36,"BROADWAY, PARRYS,  CLIVE BATTERY,  V. NAGAR,  THEAGARAYA COLLEGE,  TONDAIAYRPET,  THANGAL,  THRUVOTRIYUR TEMPLE,  THIRUVETRIYUR B.S,  ERNAVOOR GATE,  SATHIYAMOORTHY NAGAR,  JN., OF PONNERI RD, &ERANOO,  ANDAKUPPAM,  ECHANKUZHI,  NAPALAYAM,  KONDAKKARAI,  PATTAMANDIRI,  MINJUR B.D.O, MINJUR NEW TERMINUS"
S57,1461,36,"V. NAGAR, VYASARPADI,  SARMA NAGAR,  MOOLAKADAI,  MADHAVARAM,  CYCLE SHOP,  KAVANGARAI,  AAYURVEDA ASHRAMAM,  RED HILLS,  ,  ,  JN., OF PONNERI RD, &ERANOO,  ANDAKUPPAM,  ECHANKUZHI,  NAPALAYAM,  KONDAKKARAI,  PATTAMANDIRI,  MINJUR B.D.O, RED HILLS"
S571,1453,36,"C.M.B.T., M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  GUINDY R.S,  CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE,  VIJAYA NAGAR,  I.R.T. RD.JN.,  SRP TOOLS,  KANDANCHAVADI,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SOZHINGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  CHEMMAN CHERI,  NAVALUR,  CHURCH,  PALAVASTHIC CHEMICALS,  HINDUSTAL EGG. COLLEGE, KELAMBAKKAM"
S578,1457,36,"KUNDRATHUR B.S, KOLLAICHERI,  SIKKARAYAPURAM,  MANGADU,  KUMUNANCHAVADI,  POONAMALLEE,  NAZARATHPET,  CHEMBARAMBAKKAM,  PAPPANCHATRAM,  CHETTIPEDU,  THANDALAM KOOT ROAD,  SIPCOT,  IRUNKATTUKOTTAI,  PENNALUR E.B.,  BEEMANTHANGAL, SRIPERUMPUDUR"
S583,1464,36,"TAMBARAM, TAMBARAM TOWN LIMIT,  PERUNGALATHUR (OLD),  MUDICHUR VILLAGE,  MANIVAKKAM,  KARASANGAL,  M.G.R.NAGAR,  PADAPPAI,  SALAMANGALAM KOOT ROAD,  VANJIVANCHERY,  SARAPANCHERY,  PANAPAKKAMEDU,  VATTAMBAKKAM,  ORAGADAM KOOT ROAD,  MATHUR,  VALLAKKOTTAI,  VALLAM,  THERASAPURAM,  BHONDHUR,  PATTUNOOL CHATRAM, SRIPERUMPUDUR"
S583A,1453,36,"THIRUVALLUR, OIL MILL,  MANAVALAN NAGAR,  MELNALLATHUR,  KIZH NALLATHUR,  POLIVAKKAM,  VICTORIA TEACHERS COLONY,  SENKADU,  KATTU KOOT ROAD,  AAYA KOLATHUR,  THANTHONI AMMAN NAGAR, SRIPERUMPUDUR"
S583B,1469,36,"TAMBARAM, TAMBARAM TOWN LIMIT,  PERUNGALATHUR (OLD),  MUDICHUR,  MANNIVAKKAM ROAD JN.,  KARASANGAL,  MANIMANGALAM,  PUSHPAGIRI,  CHETPET,  MALAI PATTU,  KOLATHUR,  NAVALUR,  PILLAIPAKKAM KOOT ROAD,  PATTUNOOL CHATRAM,  SRIPERUMPUDUR,  THANTHONI AMMAN NAGAR,  AAYA KOLATHUR,  KATTU KOOT ROAD,  VAYALUR CROSS ROAD,  MUDHUKUR CROSS ROAD,  POOVALLI KUPPAM,  MEPPEDU,  MEPPEDU KOOT RD,  KONDANCHERY CHRISTHUVA SA,  KOOVAM, PERAMBAKKAM"
S583E,972,24,"PALLAVARAM, CHROMPET,  T.B.SANATORIUM,  TAMBARAM,  TAMBARAM TOWN LIMIT,  PERUNGALATHUR (OLD),  MUDICHUR,  MANIVAKKAM,  KARASANGAL,  M.G.R.NAGAR,  PADAPPAI,  SALAMANGALAM KOOT ROAD,  VANJIVANCHERY,  SARAPANCHERY,  PANAPAKKAMEDU,  VATTAMBAKKAM,  ORAGADAM KOOT ROAD,  MATHUR, VALLAKKOTTAI"
S591C,1462,36,"POONAMALLEE, NAZARATHPET,  CHEMBARAMBAKKAM,  PAPPANCHATRAM,  CHETTIPEDU,  THANDALAM KOOT ROAD,  TSR RAJALAKSHMI NAGAR,  VALARPURAM,  MANNUR VILLAGE,  SOWBAKKIYA NAGAR,  KATTU KOOT ROAD,  VAYALUR CROSS ROAD,  MUDHUKUR CROSS ROAD,  POOVALLI KUPPAM,  MEPPEDU,  MEPPEDU KOOT RD,  KONDANCHERY CHRISTHUVA SA,  KOOVAM,  PERAMBAKKAM,  PALACE GARDEN, NARASINPRM M KOL"
S592,1458,36,"V. NAGAR, VYASARPADI,  SARMA NAGAR,  MOOLAKADAI,  MADHAVARAM,  CYCLE SHOP,  KAVANGARAI,  AAYURVEDA ASHRAMAM,  RED HILLS,  PADIYANALLUR,  SEMILIVARAM,  SHOLAVARAM,  KARANODAI,  PERIYAPALAYAM RD JN.,  SAKTHI VINAYAGAR KOIL,  PANDY KAVANOOR JN.,  MANCHANKARANAI,  KANNIGAIPEIR,  DHARMAPURAM KANDIGAI,  JEYAPURAM,  AVADI ROAD JN.,  PERIYAPALAYAM, PERIYAPALAYAM TEMPLE"
S592G,1458,36,"V. NAGAR, VYASARPADI,  SARMA NAGAR,  MOOLAKADAI,  MADHAVARAM POST BOX,  MADAHVARAM VILLAGE,  MATHUR RD. JN., ,  VADAPERUMBAKKAM,  GRAND LINE,  RED HILLS,  PADIYANALLUR,  SEMILIVARAM,  SHOLAVARAM,  KARANODAI,  PERIYAPALAYAM RD JN.,  SAKTHI VINAYAGAR KOIL,  PANDY KAVANOOR JN.,  MANCHANKARANAI,  KANNIGAIPEIR,  DHARMAPURAM KANDIGAI,  JEYAPURAM,  AVADI ROAD JN.,  PERIYAPALAYAM, PERIYAPALAYAM TEMPLE"
S596,1456,36,"C.M.B.T., KOYAMBEDU SCHOOL,  NERKUNDRAM,  MADURAVOYAL,  VAANAGARAM,  VELAPPANCHAVADI,  KUMUNANCHAVADI,  POONAMALLEE,  VARADARAJA PURAM,  THIRUMALISAI,  VELLAVEDU,  NEMAM,  PUTHUCHATHIRAM,  METTUKANDIGAI,  MURUKKANCHERI,  ARANVOYAL KUPPAM,  ARANVOYAL,  VENKATHUR,  MANAVALAN NAGAR,  OIL MILL, THIRUVALLUR"
S71D,1451,36,"AMBATHUR ESTATE, MOGAIPAIR ROAD JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  GUINDY TVK ESTATE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE,  VELACHERY,  A.V.CONSTRUCTION,  PONNIAMMAN KOIL RD. JN., MADIPAKKAM B.S"
S71KET,976,24,"MOGAPAIR EAST, FIRE STATION,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  M.M.D.A.COLONY RD.JN.,  JN OF III AND 1ST AVE,  JAFFARKHAN PET,  CIPET,  GUINDY TVK ESTATE,  CONCORDE,  JN.OF RACE COURSE RD,  GURUNANAK COLLEGE,  VELACHERY,  I.R.T. RD.JN.,  LATTICE BRIDGE RD. JN., THIRUVANMIYUR"
S71E,1468,36,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  KILPAUK GARDEN,  ICF ANNEXE,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC,  AVADI CIRCLE,  KAVARAIPALAYAM,  PATTABIRAM,  NEMILICHERI, THIRUNINDRAVOOR"
S71V,1477,36,"BROADWAY, CENTRAL,  DASAPRAKASH,  TAYLORS ROAD,  KILPAUK GARDEN,  ICF ANNEXE,  NATHAMUNI TALKIES,  LUCAS TVS,  AMBATHUR ESTATE,  DUNLOP,  AMB OT,  THIRUMULLAIVOAYL,  POLYTECHNIC,  AVADI,  KAVARAIPALAYAM,  PATTABIRAM,  NEMILICHERI,  THIRUNINDRAVOOR,  VEPPUMPATTU PULIYAMARAM, VEPPAMPATTU ESWARAN NAGAR"
SB18,1455,36,"KORUKKUPET R.S, V. NAGAR,  CLIVE BATTERY,  PARRYS,  CENTRAL,  PERIYAR BRIDGE,  T.V.S,  D.M.S,  S.H.B,  SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  MENAMABAKKAM OLD AIRPORT,  THIRUSOOLAM NATIONAL AIRP,  PALLAVARAM,  CHROMPET,  T.B.SANATORIUM,  TAMBARAM,  IRUMBULIYUR,  PERUNGULATHUR,  VANDALOOR, VANDALOOR ZOO"
SB51,1473,36,"T.NAGAR, SAIDAPET,  CONCORDE,  GUINDY R.S,  ST THOMAS MOUNT PO,  ST THOMAS MOUNT R.S,  VANUVAMBEDU,  MADIPAKKAM RD. JN.,  KILKATTALAI,  VELLAIKAL,  JN.OF.VLY-TBM RD&MVKM-K.K,  S.I.V.E.T,  MAHALAKSHMI NAGAR,  CONVENT, TAMBARAM EAST"
